,_id,game_title,sub_title,game_system,genre,now_playing,game_status,game_hours,game_minutes,playtime_calc,add_date,start_date,beat_date,complete_date,game_notes
320,G0321,GRID,,360,Racing,N,Completed,,,,2013-03-02 16:00:00,2013-03-03 16:00:00,2013-03-10 16:00:00,,"Legend is the final goal...Glitched achievement, GG. Completely different racing style from DiRT and Forza, but enjoyable. Not a fan of majorly glitched games, however."
321,G0322,Tetris Battle,,PC,Puzzle,N,Infinite,,,,2013-03-23 16:00:00,,,,
322,G0323,DiRT 2,,Steam,Racing,N,Beaten,,,,2013-03-29 16:00:00,2013-04-07 16:00:00,2013-04-07 16:00:00,,
323,G0324,Gears of War,,360,TPS,N,Beaten,,,,2013-04-01 16:00:00,2013-07-10 16:00:00,2013-07-16 16:00:00,,"Finished the game on Casual. Man...Casual was plenty tough enough for me. XD Great game, makes me want to play the sequels..."
324,G0325,GRID 2,,360,Racing,N,Completed,28.0,30.0,Actual,2013-04-01 16:00:00,2013-05-28 16:00:00,2013-06-05 16:00:00,2013-06-07 16:00:00,Level 23 multiplayer. Other than Virgin Media Endurance on Very Hard (aka impossible) this was a very enjoyable game. Time to wait for DiRT 4!
325,G0326,Tony Hawk's Pro Skater HD,,XBLA,Sports,N,Beaten,,,,2013-04-18 16:00:00,2013-04-19 16:00:00,2013-04-19 16:00:00,,
326,G0327,Trials Evolution,,XBLA,Racing,N,Completed,19.0,58.0,Actual,2013-04-19 16:00:00,2013-04-21 16:00:00,2013-04-21 16:00:00,2014-04-24 16:00:00,
327,G0328,Torchlight II,,Steam,Action RPG,N,Infinite,,,,2013-06-07 16:00:00,2013-06-09 16:00:00,2013-10-04 16:00:00,,
328,G0329,Borderlands 2,,360,FPS,N,Completed,183.0,45.0,Actual,2013-07-07 16:00:00,2013-07-12 16:00:00,2013-12-07 16:00:00,2014-01-29 16:00:00,Level 56 Gunzerker.
329,G0330,TrackMania Nations Forever,,PC,Racing,N,Infinite,,,,2013-07-08 16:00:00,,,,
330,G0331,Audiosurf,,PC,Rhythm,N,Infinite,,,,2013-07-10 16:00:00,,,,
331,G0332,Combat Arms,,PC,FPS,N,Infinite,,,,2013-07-10 16:00:00,,,,
332,G0333,Grand Chase,,PC,MMORPG,N,Beaten,,,,2013-07-10 16:00:00,,,,
