,StatID,Assists,BlockedShots,DefensiveRebounds,FantasyPoints,FantasyPointsDraftKings,FantasyPointsFanDuel,FieldGoalsAttempted,FieldGoalsMade,FieldGoalsPercentage,FreeThrowsAttempted,FreeThrowsMade,FreeThrowsPercentage,Games,Minutes,Name,OffensiveRebounds,PersonalFouls,PlayerID,Points,Position,Rebounds,Season,SeasonType,Steals,Team,TeamID,ThreePointersAttempted,ThreePointersMade,ThreePointersPercentage,Turnovers,TwoPointersAttempted,TwoPointersMade,TwoPointersPercentage,ft_chance,three_chance,two_attempt_chance,two_chance
68,555378,12,4,34,168.0,190.0,168.0,111,38,34.2,16,8,50.0,26,327,Louie Pillari,6,16,60001236,104,G,40,2020,1,5,MONM,166,57,20,35.1,20,54,18,33.3,0.5,0.3508771956,0.4864864945,0.3333333433
69,554906,27,15,154,582.9,636.25,582.9,227,93,41.0,60,44,73.3,28,711,Pierre Sarr,53,91,60001241,255,F,207,2020,1,29,BING,20,93,25,26.9,49,134,68,50.7,0.7333333492,0.2688172162,0.5903083682,0.5074626803
70,554093,17,8,67,293.5,313.5,293.5,99,45,45.5,37,27,73.0,27,412,Emmitt Holt,33,26,60001249,129,F,100,2020,1,9,PROV,63,32,12,37.5,15,67,33,49.3,0.729729712,0.375,0.6767676473,0.4925373197
71,602568,8,2,14,88.8,98.75,88.8,34,20,58.8,17,13,76.5,17,163,Derrik Smits,15,28,60001225,53,C,29,2020,1,1,BUTL,64,0,0,0.0,17,34,20,58.8,0.7647058964,0.0,1.0,0.5882353187
72,554982,32,4,37,348.0,392.5,348.0,203,68,33.5,61,51,83.6,27,591,James Bolden,23,85,60000145,229,G,60,2020,1,16,ALA,275,122,42,34.4,41,81,26,32.1,0.8360655904,0.3442623019,0.399014771,0.3209876418
73,582360,1,0,2,8.9,9.5,8.9,2,1,50.0,2,2,100.0,7,13,Beau Brown,0,3,60001283,5,G,2,2020,1,0,SDKST,314,1,1,100.0,0,1,0,0.0,1.0,1.0,0.5,0.0
74,555070,32,1,83,490.0,545.75,490.0,219,106,48.4,39,30,76.9,31,703,Stefan Gonzalez,12,28,60001330,324,G,95,2020,1,11,UCDV,118,173,82,47.4,20,46,24,52.2,0.769230783,0.4739884436,0.2100456655,0.5217391253
75,554426,37,9,83,452.5,484.25,452.5,212,77,36.3,29,20,69.0,33,736,Marcus DeBerry,22,30,60000608,212,G,105,2020,1,28,IPFW,315,123,38,30.9,15,89,39,43.8,0.6896551847,0.3089430928,0.4198113084,0.4382022619
76,557213,57,4,72,524.9,582.5,524.9,284,94,33.1,83,64,77.1,30,831,Wendell Mitchell,10,70,60000324,306,G,82,2020,1,40,TXAM,270,184,54,29.3,53,100,40,40.0,0.7710843086,0.2934782505,0.3521126807,0.400000006
77,557286,10,23,107,446.0,474.75,446.0,123,66,53.7,66,54,81.8,15,403,Carlton Bragg Jr.,48,41,60000078,189,F,155,2020,1,17,NMX,214,7,3,42.9,24,116,63,54.3,0.8181818128,0.4285714328,0.9430894256,0.5431034565
78,569985,13,45,104,527.9,553.5,527.9,198,105,53.0,32,21,65.6,30,647,Simeon Carter,58,64,60000205,232,F,162,2020,1,13,GAS,329,13,1,7.7,34,185,104,56.2,0.65625,0.0769230798,0.9343434572,0.5621621609
