Season,Rk,Team,Conf,W,L,AdjEM,AdjO,AdjD,AdjT,Luck,OppAdjEM,OppO,OppD,NCAdjEM
2021,248,Morgan St.,MEAC,0,0,-6.71,99.9,106.6,71.9,-0.048,-10.29,95.7,106,-0.6
2021,249,Niagara,MAAC,0,0,-6.73,100.5,107.2,64.4,-0.048,-6.63,96.2,102.8,9.19
2021,250,UT Arlington,SB,0,0,-6.93,98.7,105.7,69.7,0.051,-3.66,99.5,103.1,11.91
2021,251,Arkansas St.,SB,0,0,-6.94,99.8,106.7,68,-0.041,-4.52,99,103.5,7.14
2021,252,Boston University,Pat,0,0,-7.05,101.4,108.5,65.9,0.009,-2.11,102.5,104.6,-99
2021,253,Lafayette,Pat,0,0,-7.25,104.1,111.3,68.8,0.062,-8.85,96.4,105.3,-99
2021,254,Southern Miss,CUSA,0,0,-7.29,93.5,100.8,67.8,-0.078,0.11,101.5,101.4,-6.73
2021,255,Texas Southern,SWAC,0,0,-7.37,98.6,105.9,71.9,0.053,-10.36,94.4,104.8,12.52
2021,256,Long Beach St.,BW,0,0,-7.53,96.6,104.1,73.5,0.001,-2.15,101.3,103.5,3.01
2021,257,IUPUI,Horz,0,0,-7.54,97.2,104.7,72.5,0.076,-2.52,102.1,104.6,-16.37
2021,258,American,Pat,0,0,-7.9,97.5,105.4,67.7,0.065,-1.58,101,102.5,-99
2021,259,Portland St.,BSky,0,0,-7.9,92.8,100.7,69.9,-0.135,-5.17,99.9,105.1,4.03
2021,260,Cal St. Fullerton,BW,0,0,-7.92,101.8,109.8,72.2,-0.044,-2.13,101.1,103.3,-2.88
